,,LMMER_full,LMMER_rand_int,LR,MMER_XGBoost,MMER_XGBoost_MI,XGBoost
all meals,max_glucose,0.41 | 0.65,0.41 | 0.65,0.42 | 0.65,0.53 | 0.73,0.54 | 0.74,0.56 | 0.75
all meals,peak_duration,0.30 | 0.56,0.30 | 0.55,0.31 | 0.56,0.41 | 0.64,0.41 | 0.64,0.43 | 0.65
all meals,end_glucose,0.32 | 0.58,0.32 | 0.59,0.36 | 0.60,0.38 | 0.63,0.39 | 0.63,0.42 | 0.65
all meals,positive_iAUC,0.25 | 0.50,0.24 | 0.49,0.26 | 0.52,0.39 | 0.63,0.40 | 0.63,0.42 | 0.65
all meals,Multivariate (uniform R²),0.32,0.32,0.34,0.43,0.44,0.46
standardized,max_glucose,-0.12 | 0.46,-0.15 | 0.45,-0.19 | 0.46,0.34 | 0.60,0.34 | 0.59,0.34 | 0.59
standardized,peak_duration,-0.32 | 0.27,-0.37 | 0.27,-0.32 | 0.29,0.09 | 0.35,0.09 | 0.35,0.13 | 0.37
standardized,end_glucose,0.17 | 0.47,0.17 | 0.47,0.20 | 0.48,0.21 | 0.46,0.21 | 0.47,0.22 | 0.48
standardized,positive_iAUC,-0.31 | 0.06,-0.34 | 0.04,-0.38 | 0.09,0.13 | 0.36,0.14 | 0.37,0.14 | 0.37
standardized,Multivariate (uniform R²),-0.15,-0.17,-0.17,0.19,0.19,0.21
