,Type,fold,pc,ICC,F,df1,df2,pval,CI95
0,"ICC(1,1)",1,PC1,0.8366927866872909,11.246856458019996,198,199,3.4882336850839323e-54,[0.79 0.87]
1,"ICC(A,1)",1,PC1,0.8366573788742874,11.21707788069242,198,198,7.099707470613683e-54,[0.79 0.87]
2,"ICC(C,1)",1,PC1,0.8362947327068485,11.21707788069242,198,198,7.099707470613683e-54,[0.79 0.87]
3,"ICC(1,k)",1,PC1,0.9110862663062698,11.246856458019996,198,199,3.4882336850839323e-54,[0.88 0.93]
4,"ICC(A,k)",1,PC1,0.9110652737932932,11.21707788069242,198,198,7.099707470613683e-54,[0.88 0.93]
5,"ICC(C,k)",1,PC1,0.9108502222560774,11.21707788069242,198,198,7.099707470613683e-54,[0.88 0.93]
6,"ICC(1,1)",1,PC2,0.47706688605965036,2.824580900853293,198,199,4.216765090710882e-13,[0.36 0.58]
7,"ICC(A,1)",1,PC2,0.47724587332590807,2.8282845651967934,198,198,4.323318259696704e-13,[0.36 0.58]
8,"ICC(C,1)",1,PC2,0.4775727963949854,2.8282845651967934,198,198,4.323318259696704e-13,[0.36 0.58]
9,"ICC(1,k)",1,PC2,0.6459651767460778,2.824580900853293,198,199,4.216765090710882e-13,[0.53 0.73]
10,"ICC(A,k)",1,PC2,0.6461292354148532,2.8282845651967934,198,198,4.323318259696704e-13,[0.53 0.73]
11,"ICC(C,k)",1,PC2,0.6464287885648382,2.8282845651967934,198,198,4.323318259696704e-13,[0.53 0.73]
12,"ICC(1,1)",2,PC1,0.8064112504686818,9.331178877088853,198,199,1.540256750160835e-47,[0.75 0.85]
13,"ICC(A,1)",2,PC1,0.8063502191503815,9.3008950772241,198,198,3.0427100578583156e-47,[0.75 0.85]
14,"ICC(C,1)",2,PC1,0.8058421151748143,9.3008950772241,198,198,3.0427100578583156e-47,[0.75 0.85]
15,"ICC(1,k)",2,PC1,0.8928324048684425,9.331178877088853,198,199,1.540256750160835e-47,[0.86 0.92]
16,"ICC(A,k)",2,PC1,0.8927949968967248,9.3008950772241,198,198,3.0427100578583156e-47,[0.86 0.92]
17,"ICC(C,k)",2,PC1,0.8924834661936155,9.3008950772241,198,198,3.0427100578583156e-47,[0.86 0.92]
18,"ICC(1,1)",2,PC2,0.5837550662490429,3.8048632856072606,198,199,5.031632044279975e-20,[0.48 0.67]
19,"ICC(A,1)",2,PC2,0.5837459031345463,3.8044608848858052,198,198,5.875355482579694e-20,[0.48 0.67]
20,"ICC(C,1)",2,PC2,0.5837202033860378,3.8044608848858052,198,198,5.875355482579694e-20,[0.48 0.67]
21,"ICC(1,k)",2,PC2,0.7371784674149209,3.8048632856072606,198,199,5.031632044279975e-20,[0.65 0.8 ]
22,"ICC(A,k)",2,PC2,0.7371711610798143,3.8044608848858052,198,198,5.875355482579694e-20,[0.65 0.8 ]
23,"ICC(C,k)",2,PC2,0.7371506685815181,3.8044608848858052,198,198,5.875355482579694e-20,[0.65 0.8 ]
24,"ICC(1,1)",3,PC1,0.8280986029294587,10.634576763673891,197,198,6.4896936691513075e-52,[0.78 0.87]
25,"ICC(A,1)",3,PC1,0.828104263780378,10.638652948278871,197,197,1.0056017881668493e-51,[0.78 0.87]
26,"ICC(C,1)",3,PC1,0.8281588076482888,10.638652948278871,197,197,1.0056017881668493e-51,[0.78 0.87]
27,"ICC(1,k)",3,PC1,0.9059671087789927,10.634576763673891,197,198,6.4896936691513075e-52,[0.88 0.93]
28,"ICC(A,k)",3,PC1,0.9059704965272852,10.638652948278871,197,197,1.0056017881668493e-51,[0.88 0.93]
29,"ICC(C,k)",3,PC1,0.9060031373462765,10.638652948278871,197,197,1.0056017881668493e-51,[0.88 0.93]
30,"ICC(1,1)",3,PC2,0.48578114537782074,2.8893945292408496,197,198,1.6053583632105718e-13,[0.37 0.59]
31,"ICC(A,1)",3,PC2,0.4855300483894677,2.88392000103551,197,197,1.9298211031763873e-13,[0.37 0.59]
32,"ICC(C,1)",3,PC2,0.4850563349742603,2.88392000103551,197,197,1.9298211031763873e-13,[0.37 0.58]
33,"ICC(1,k)",3,PC2,0.6539067303270846,2.8893945292408496,197,198,1.6053583632105718e-13,[0.54 0.74]
34,"ICC(A,k)",3,PC2,0.6536792021350945,2.88392000103551,197,197,1.9298211031763873e-13,[0.54 0.74]
35,"ICC(C,k)",3,PC2,0.6532497435293154,2.88392000103551,197,197,1.9298211031763873e-13,[0.54 0.74]
36,"ICC(1,1)",4,PC1,0.8003516172233713,9.017611824272308,197,198,3.982767118969865e-46,[0.74 0.85]
37,"ICC(A,1)",4,PC1,0.8003058474803296,8.996954557778679,197,197,7.181701812871763e-46,[0.74 0.85]
38,"ICC(C,1)",4,PC1,0.7999390726004861,8.996954557778679,197,197,7.181701812871763e-46,[0.74 0.85]
39,"ICC(1,k)",4,PC1,0.8891058941671959,9.017611824272308,197,198,3.982767118969865e-46,[0.85 0.92]
40,"ICC(A,k)",4,PC1,0.8890776515561741,8.996954557778679,197,197,7.181701812871763e-46,[0.85 0.92]
41,"ICC(C,k)",4,PC1,0.8888512781099456,8.996954557778679,197,197,7.181701812871763e-46,[0.85 0.92]
42,"ICC(1,1)",4,PC2,0.5275329628363096,3.2330995449045092,197,198,5.305852604180886e-16,[0.42 0.62]
43,"ICC(A,1)",4,PC2,0.5284964825373173,3.261311057134267,197,197,3.757793458907735e-16,[0.42 0.62]
44,"ICC(C,1)",4,PC2,0.5306608756824712,3.261311057134267,197,197,3.757793458907735e-16,[0.42 0.62]
45,"ICC(1,k)",4,PC2,0.6906992852799603,3.2330995449045092,197,198,5.305852604180886e-16,[0.59 0.77]
46,"ICC(A,k)",4,PC2,0.6915246303478679,3.261311057134267,197,197,3.757793458907735e-16,[0.59 0.77]
47,"ICC(C,k)",4,PC2,0.6933748475747341,3.261311057134267,197,197,3.757793458907735e-16,[0.59 0.77]
48,"ICC(1,1)",5,PC1,0.8001596806827982,9.0079904137135,197,198,4.3351048209823515e-46,[0.74 0.85]
49,"ICC(A,1)",5,PC1,0.8002215588170346,9.036000323408073,197,197,5.0997709601174044e-46,[0.74 0.85]
50,"ICC(C,1)",5,PC1,0.8007174237195689,9.036000323408073,197,197,5.0997709601174044e-46,[0.74 0.85]
51,"ICC(1,k)",5,PC1,0.8889874484682366,9.0079904137135,197,198,4.3351048209823515e-46,[0.85 0.92]
52,"ICC(A,k)",5,PC1,0.8890256367587086,9.036000323408073,197,197,5.0997709601174044e-46,[0.85 0.92]
53,"ICC(C,k)",5,PC1,0.8893315665992767,9.036000323408073,197,197,5.0997709601174044e-46,[0.85 0.92]
54,"ICC(1,1)",5,PC2,0.4984615340938209,2.9877300266219913,197,198,3.073005370357527e-14,[0.39 0.6 ]
55,"ICC(A,1)",5,PC2,0.49907681470129933,3.002436266287053,197,197,2.6530683575972655e-14,[0.39 0.6 ]
56,"ICC(C,1)",5,PC2,0.5003043479177387,3.002436266287053,197,197,2.6530683575972655e-14,[0.39 0.6 ]
57,"ICC(1,k)",5,PC2,0.6652977373827088,2.9877300266219913,197,198,3.073005370357527e-14,[0.56 0.75]
58,"ICC(A,k)",5,PC2,0.6658455521517003,3.002436266287053,197,197,2.6530683575972655e-14,[0.56 0.75]
59,"ICC(C,k)",5,PC2,0.6669371432697738,3.002436266287053,197,197,2.6530683575972655e-14,[0.56 0.75]
60,"ICC(1,1)",pooled,PC1,0.8144927622351897,9.781250500509527,991,992,4.880628366719058e-237,[0.79 0.83]
61,"ICC(A,1)",pooled,PC1,0.8145092816642133,9.790651056891695,991,991,5.119279409356966e-237,[0.79 0.83]
62,"ICC(C,1)",pooled,PC1,0.8146543716912563,9.790651056891695,991,991,5.119279409356966e-237,[0.79 0.83]
63,"ICC(1,k)",pooled,PC1,0.8977635835062288,9.781250500509527,991,992,4.880628366719058e-237,[0.88 0.91]
64,"ICC(A,k)",pooled,PC1,0.8977736183494966,9.790651056891695,991,991,5.119279409356966e-237,[0.88 0.91]
65,"ICC(C,k)",pooled,PC1,0.8978617464569841,9.790651056891695,991,991,5.119279409356966e-237,[0.88 0.91]
66,"ICC(1,1)",pooled,PC2,0.5228038549206937,3.1911486935159874,991,992,4.269218125053294e-71,[0.48 0.57]
67,"ICC(A,1)",pooled,PC2,0.522789323733263,3.1907414861349643,991,991,4.921272815883322e-71,[0.48 0.57]
68,"ICC(C,1)",pooled,PC2,0.5227574865648515,3.1907414861349643,991,991,4.921272815883322e-71,[0.48 0.57]
69,"ICC(1,k)",pooled,PC2,0.6866332170506896,3.1911486935159874,991,992,4.269218125053294e-71,[0.65 0.72]
70,"ICC(A,k)",pooled,PC2,0.6866206842737709,3.1907414861349643,991,991,4.921272815883322e-71,[0.65 0.72]
71,"ICC(C,k)",pooled,PC2,0.6865932246954521,3.1907414861349643,991,991,4.921272815883322e-71,[0.65 0.72]
