,fold,pc,n,"ICC(A,1)","ICC(A,1) CI","ICC(C,1)","ICC(C,1) CI",pval,r,r CI,rho,rho CI
0,1,PC1,199,0.84,"[0.79, 0.87]",0.84,"[0.79, 0.87]",0.0,0.84,"[0.79, 0.87]",0.81,"[0.75, 0.85]"
1,1,PC2,199,0.48,"[0.36, 0.58]",0.48,"[0.36, 0.58]",0.0,0.48,"[0.36, 0.58]",0.45,"[0.34, 0.56]"
2,2,PC1,199,0.81,"[0.75, 0.85]",0.81,"[0.75, 0.85]",0.0,0.81,"[0.75, 0.85]",0.82,"[0.77, 0.86]"
3,2,PC2,199,0.58,"[0.48, 0.67]",0.58,"[0.48, 0.67]",0.0,0.59,"[0.49, 0.67]",0.48,"[0.36, 0.58]"
4,3,PC1,198,0.83,"[0.78, 0.87]",0.83,"[0.78, 0.87]",0.0,0.83,"[0.78, 0.87]",0.78,"[0.72, 0.83]"
5,3,PC2,198,0.49,"[0.37, 0.59]",0.49,"[0.37, 0.58]",0.0,0.49,"[0.37, 0.59]",0.44,"[0.32, 0.54]"
6,4,PC1,198,0.8,"[0.74, 0.85]",0.8,"[0.74, 0.85]",0.0,0.8,"[0.74, 0.85]",0.78,"[0.72, 0.83]"
7,4,PC2,198,0.53,"[0.42, 0.62]",0.53,"[0.42, 0.62]",0.0,0.54,"[0.43, 0.63]",0.49,"[0.38, 0.59]"
8,5,PC1,198,0.8,"[0.74, 0.85]",0.8,"[0.74, 0.85]",0.0,0.8,"[0.75, 0.85]",0.8,"[0.74, 0.84]"
9,5,PC2,198,0.5,"[0.39, 0.60]",0.5,"[0.39, 0.60]",0.0,0.5,"[0.39, 0.60]",0.47,"[0.35, 0.57]"
10,pooled,PC1,992,0.81,"[0.79, 0.83]",0.81,"[0.79, 0.83]",0.0,0.82,"[0.79, 0.84]",0.8,"[0.78, 0.82]"
11,pooled,PC2,992,0.52,"[0.48, 0.57]",0.52,"[0.48, 0.57]",0.0,0.52,"[0.48, 0.57]",0.47,"[0.42, 0.51]"
