,Type,fold,pc,ICC,F,df1,df2,pval,CI95
0,"ICC(1,1)",1,PC1,0.7280574621743474,6.354494872303639,198,199,9.853673538632577e-35,[0.66 0.79]
1,"ICC(A,1)",1,PC1,0.7280558485420815,6.354217578747466,198,198,1.3207732108042232e-34,[0.66 0.79]
2,"ICC(C,1)",1,PC1,0.7280472084780731,6.354217578747466,198,198,1.3207732108042232e-34,[0.66 0.79]
3,"ICC(1,k)",1,PC1,0.8426310792446231,6.354494872303639,198,199,9.853673538632577e-35,[0.79 0.88]
4,"ICC(A,k)",1,PC1,0.8426299985111296,6.354217578747466,198,198,1.3207732108042232e-34,[0.79 0.88]
5,"ICC(C,k)",1,PC1,0.842624211776343,6.354217578747466,198,198,1.3207732108042232e-34,[0.79 0.88]
6,"ICC(1,1)",1,PC2,0.2666716974898235,1.7272914370739778,198,199,6.596710206334882e-05,[0.13 0.39]
7,"ICC(A,1)",1,PC2,0.2736630981738404,1.773858253205047,198,198,3.1618121596284746e-05,[0.14 0.4 ]
8,"ICC(C,1)",1,PC2,0.2789826236834181,1.773858253205047,198,198,3.1618121596284746e-05,[0.15 0.4 ]
9,"ICC(1,k)",1,PC2,0.42105890266323875,1.7272914370739778,198,199,6.596710206334882e-05,[0.23 0.56]
10,"ICC(A,k)",1,PC2,0.4297260375466865,1.773858253205047,198,198,3.1618121596284746e-05,[0.25 0.57]
11,"ICC(C,k)",1,PC2,0.4362570976608884,1.773858253205047,198,198,3.1618121596284746e-05,[0.25 0.57]
12,"ICC(1,1)",2,PC1,0.7158907712531895,6.039546053543861,198,199,3.8519125763829506e-33,[0.64 0.78]
13,"ICC(A,1)",2,PC1,0.716002036957024,6.056249053323252,198,198,4.161176905313585e-33,[0.64 0.78]
14,"ICC(C,1)",2,PC1,0.7165632923545876,6.056249053323252,198,198,4.161176905313585e-33,[0.64 0.78]
15,"ICC(1,k)",2,PC1,0.8344246419955315,6.039546053543861,198,199,3.8519125763829506e-33,[0.78 0.87]
16,"ICC(A,k)",2,PC1,0.8345002179912397,6.056249053323252,198,198,4.161176905313585e-33,[0.78 0.87]
17,"ICC(C,k)",2,PC1,0.8348812951390647,6.056249053323252,198,198,4.161176905313585e-33,[0.78 0.88]
18,"ICC(1,1)",2,PC2,0.6057414604601055,4.072813393805064,198,199,8.681904955940309e-22,[0.51 0.69]
19,"ICC(A,1)",2,PC2,0.6065546139591952,4.11596617210737,198,198,5.404127190860318e-22,[0.51 0.69]
20,"ICC(C,1)",2,PC2,0.6090670006959489,4.11596617210737,198,198,5.404127190860318e-22,[0.51 0.69]
21,"ICC(1,k)",2,PC2,0.7544694776536912,4.072813393805064,198,199,8.681904955940309e-22,[0.68 0.81]
22,"ICC(A,k)",2,PC2,0.7550998997343777,4.11596617210737,198,198,5.404127190860318e-22,[0.68 0.81]
23,"ICC(C,k)",2,PC2,0.7570436786442293,4.11596617210737,198,198,5.404127190860318e-22,[0.68 0.82]
24,"ICC(1,1)",3,PC1,0.7849134107813608,8.298580665886917,197,198,2.74895172571664e-43,[0.73 0.83]
25,"ICC(A,1)",3,PC1,0.7848484790700809,8.275357796929342,197,197,4.988988203469099e-43,[0.72 0.83]
26,"ICC(C,1)",3,PC1,0.7843748948787603,8.275357796929342,197,197,4.988988203469099e-43,[0.72 0.83]
27,"ICC(1,k)",3,PC1,0.8794974658605521,8.298580665886917,197,198,2.74895172571664e-43,[0.84 0.91]
28,"ICC(A,k)",3,PC1,0.8794567026541016,8.275357796929342,197,197,4.988988203469099e-43,[0.84 0.91]
29,"ICC(C,k)",3,PC1,0.8791593034960905,8.275357796929342,197,197,4.988988203469099e-43,[0.84 0.91]
30,"ICC(1,1)",3,PC2,0.46174791639691276,2.715731087582414,197,198,3.0748314188252084e-12,[0.34 0.56]
31,"ICC(A,1)",3,PC2,0.461596734936648,2.7129005495120326,197,197,3.499440952894159e-12,[0.34 0.56]
32,"ICC(C,1)",3,PC2,0.4613375787124571,2.7129005495120326,197,197,3.499440952894159e-12,[0.34 0.56]
33,"ICC(1,k)",3,PC2,0.6317750293567485,2.715731087582414,197,198,3.0748314188252084e-12,[0.51 0.72]
34,"ICC(A,k)",3,PC2,0.6316335058817104,2.7129005495120326,197,197,3.499440952894159e-12,[0.51 0.72]
35,"ICC(C,k)",3,PC2,0.6313908373162189,2.7129005495120326,197,197,3.499440952894159e-12,[0.51 0.72]
36,"ICC(1,1)",4,PC1,0.7278617717017687,6.3492063665830765,197,198,1.5304447518071864e-34,[0.66 0.79]
37,"ICC(A,1)",4,PC1,0.7278187898695188,6.341846279755912,197,197,2.2224688147884113e-34,[0.66 0.79]
38,"ICC(C,1)",4,PC1,0.7275889573560381,6.341846279755912,197,197,2.2224688147884113e-34,[0.65 0.79]
39,"ICC(1,k)",4,PC1,0.8425000004310514,6.3492063665830765,197,198,1.5304447518071864e-34,[0.79 0.88]
40,"ICC(A,k)",4,PC1,0.842471206051049,6.341846279755912,197,197,2.2224688147884113e-34,[0.79 0.88]
41,"ICC(C,k)",4,PC1,0.8423172123877956,6.341846279755912,197,197,2.2224688147884113e-34,[0.79 0.88]
42,"ICC(1,1)",4,PC2,0.5185291288387034,3.153937693418599,197,198,1.9443877933690893e-15,[0.41 0.61]
43,"ICC(A,1)",4,PC2,0.5189983342950867,3.1667696513123245,197,197,1.756069196754571e-15,[0.41 0.61]
44,"ICC(C,1)",4,PC2,0.5200118635379569,3.1667696513123245,197,197,1.756069196754571e-15,[0.41 0.61]
45,"ICC(1,k)",4,PC2,0.6829360319683153,3.153937693418599,197,198,1.9443877933690893e-15,[0.58 0.76]
46,"ICC(A,k)",4,PC2,0.6833428616443289,3.1667696513123245,197,197,1.756069196754571e-15,[0.58 0.76]
47,"ICC(C,k)",4,PC2,0.68422079591877,3.1667696513123245,197,197,1.756069196754571e-15,[0.58 0.76]
48,"ICC(1,1)",5,PC1,0.7302773293762482,6.415023718157858,197,198,7.250235658089486e-35,[0.66 0.79]
