,fold,pc,n,"ICC(A,1)","ICC(A,1) CI","ICC(C,1)","ICC(C,1) CI",pval,r,r CI,rho,rho CI
0,1,PC1,199,0.73,"[0.66, 0.79]",0.73,"[0.66, 0.79]",0.0,0.73,"[0.66, 0.79]",0.71,"[0.63, 0.77]"
1,1,PC2,199,0.27,"[0.14, 0.40]",0.28,"[0.15, 0.40]",0.0,0.28,"[0.15, 0.40]",0.31,"[0.18, 0.43]"
2,2,PC1,199,0.72,"[0.64, 0.78]",0.72,"[0.64, 0.78]",0.0,0.72,"[0.64, 0.78]",0.71,"[0.64, 0.78]"
3,2,PC2,199,0.61,"[0.51, 0.69]",0.61,"[0.51, 0.69]",0.0,0.61,"[0.51, 0.69]",0.48,"[0.36, 0.58]"
4,3,PC1,198,0.78,"[0.72, 0.83]",0.78,"[0.72, 0.83]",0.0,0.79,"[0.73, 0.84]",0.69,"[0.61, 0.76]"
5,3,PC2,198,0.46,"[0.34, 0.56]",0.46,"[0.34, 0.56]",0.0,0.46,"[0.35, 0.57]",0.41,"[0.29, 0.52]"
6,4,PC1,198,0.73,"[0.66, 0.79]",0.73,"[0.65, 0.79]",0.0,0.73,"[0.66, 0.79]",0.68,"[0.60, 0.75]"
7,4,PC2,198,0.52,"[0.41, 0.61]",0.52,"[0.41, 0.61]",0.0,0.52,"[0.41, 0.62]",0.5,"[0.39, 0.60]"
8,5,PC1,198,0.73,"[0.66, 0.79]",0.73,"[0.66, 0.79]",0.0,0.74,"[0.66, 0.79]",0.72,"[0.65, 0.78]"
9,5,PC2,198,0.47,"[0.35, 0.57]",0.47,"[0.35, 0.57]",0.0,0.47,"[0.36, 0.57]",0.37,"[0.25, 0.49]"
10,pooled,PC1,992,0.74,"[0.71, 0.77]",0.74,"[0.71, 0.77]",0.0,0.74,"[0.71, 0.77]",0.71,"[0.67, 0.74]"
11,pooled,PC2,992,0.48,"[0.43, 0.53]",0.48,"[0.44, 0.53]",0.0,0.48,"[0.44, 0.53]",0.42,"[0.36, 0.47]"
