metric,Covariates,PC1_r (95% CI),PC1_q,PC2_r (95% CI),PC2_q,N
mean_glucose,age + sex + BMI,"0.63 [0.59, 0.67]",4.5 × 10^-111,"-0.54 [-0.58, -0.50]",6.2 × 10^-76,992
median_glucose,age + sex + BMI,"0.57 [0.53, 0.61]",3.7 × 10^-87,"-0.59 [-0.63, -0.55]",2.6 × 10^-92,992
min_glucose,age + sex + BMI,"0.23 [0.17, 0.29]",1.1 × 10^-13,"-0.39 [-0.44, -0.33]",4.9 × 10^-36,992
max_glucose,age + sex + BMI,"0.68 [0.64, 0.71]",5.0 × 10^-133,"-0.07 [-0.14, -0.01]",2.4 × 10^-2,992
q1_glucose,age + sex + BMI,"0.52 [0.47, 0.56]",2.2 × 10^-69,"-0.61 [-0.65, -0.57]",5.2 × 10^-100,992
q3_glucose,age + sex + BMI,"0.62 [0.58, 0.66]",2.8 × 10^-105,"-0.50 [-0.54, -0.45]",1.2 × 10^-62,992
interdaysd,age + sex + BMI,"0.52 [0.47, 0.56]",2.0 × 10^-68,"0.05 [-0.01, 0.11]",1.1 × 10^-1,992
interdaycv,age + sex + BMI,"0.38 [0.33, 0.43]",3.9 × 10^-35,"0.35 [0.29, 0.40]",2.6 × 10^-29,992
intradaysd_mean,age + sex + BMI,"0.67 [0.63, 0.70]",6.3 × 10^-127,"0.06 [-0.00, 0.12]",7.8 × 10^-2,992
intradaysd_median,age + sex + BMI,"0.65 [0.61, 0.69]",6.0 × 10^-119,"0.04 [-0.03, 0.10]",2.7 × 10^-1,992
intradaysd_sd,age + sex + BMI,"0.42 [0.36, 0.47]",3.4 × 10^-42,"0.10 [0.03, 0.16]",2.7 × 10^-3,992
intradaycv_mean,age + sex + BMI,"0.47 [0.42, 0.52]",4.5 × 10^-55,"0.37 [0.31, 0.42]",2.8 × 10^-32,992
intradaycv_median,age + sex + BMI,"0.46 [0.41, 0.51]",6.1 × 10^-53,"0.35 [0.29, 0.40]",4.7 × 10^-29,992
intradaycv_sd,age + sex + BMI,"0.35 [0.29, 0.40]",1.7 × 10^-29,"0.30 [0.24, 0.36]",6.5 × 10^-22,992
TOR,age + sex + BMI,"-0.16 [-0.22, -0.10]",6.2 × 10^-7,"0.24 [0.18, 0.30]",3.4 × 10^-14,992
TIR,age + sex + BMI,"-0.03 [-0.09, 0.04]",4.1 × 10^-1,"-0.10 [-0.16, -0.04]",2.5 × 10^-3,992
POR,age + sex + BMI,"-0.19 [-0.25, -0.13]",1.2 × 10^-9,"0.31 [0.25, 0.37]",1.5 × 10^-23,992
MAGE,age + sex + BMI,"0.23 [0.17, 0.29]",4.4 × 10^-13,"-0.25 [-0.31, -0.19]",2.2 × 10^-15,992
J_index,age + sex + BMI,"0.53 [0.49, 0.58]",4.5 × 10^-73,"-0.33 [-0.38, -0.27]",3.4 × 10^-26,992
LBGI,age + sex + BMI,"-0.44 [-0.49, -0.39]",4.7 × 10^-47,"0.49 [0.44, 0.54]",3.1 × 10^-61,992
HBGI,age + sex + BMI,"0.29 [0.23, 0.35]",1.1 × 10^-20,"-0.18 [-0.24, -0.12]",1.9 × 10^-8,992
ADRR,age + sex + BMI,"0.04 [-0.02, 0.10]",2.3 × 10^-1,"0.38 [0.33, 0.44]",6.3 × 10^-36,992
MODD,age + sex + BMI,"0.38 [0.32, 0.43]",1.1 × 10^-34,"0.02 [-0.04, 0.09]",4.3 × 10^-1,992
CONGA24,age + sex + BMI,"0.42 [0.37, 0.47]",4.1 × 10^-44,"-0.07 [-0.13, -0.01]",3.7 × 10^-2,992
GMI,age + sex + BMI,"0.63 [0.59, 0.67]",4.5 × 10^-111,"-0.54 [-0.58, -0.50]",6.2 × 10^-76,992
eA1c,age + sex + BMI,"0.63 [0.59, 0.67]",4.5 × 10^-111,"-0.54 [-0.58, -0.50]",6.2 × 10^-76,992
mean_premeal_glucose,age + sex + BMI,"0.63 [0.59, 0.67]",9.9 × 10^-110,"-0.57 [-0.61, -0.52]",6.5 × 10^-85,992
std_premeal_glucose,age + sex + BMI,"0.52 [0.47, 0.56]",6.8 × 10^-69,"0.07 [0.01, 0.13]",3.2 × 10^-2,992
