,meal,PC,outcome,n_Q1,n_Q4,median_Q1,median_Q4,U,p,p_FDR,significance
0,A,PC1,MaxGlu,222,221,127.62,169.56,4010.0,2.2 × 10^-52,5.3 × 10^-51,***
1,A,PC1,iAUC,222,221,2333.7818333333335,4209.909,7120.0,3.4 × 10^-38,1.6 × 10^-37,***
2,A,PC1,Glu120,222,221,87.0945,109.25999999999999,9125.0,2.8 × 10^-30,8.5 × 10^-30,***
3,A,PC1,PeakDur,222,221,112.07651689708142,116.39705882352942,20014.0,6.0 × 10^-4,7.5 × 10^-4,***
4,A,PC2,Glu120,222,221,101.58,92.34,30692.5,4.8 × 10^-6,1.1 × 10^-5,***
5,A,PC2,iAUC,222,221,3212.8367500000004,3761.353,18799.5,2.1 × 10^-5,3.6 × 10^-5,***
6,A,PC2,MaxGlu,222,221,153.0,151.2,26348.5,1.8 × 10^-1,1.9 × 10^-1,n.s.
7,A,PC2,PeakDur,222,221,112.6906399521531,114.0029486586494,23463.5,4.2 × 10^-1,4.4 × 10^-1,n.s.
8,B,PC1,MaxGlu,190,190,115.53,149.4,2841.0,8.4 × 10^-46,1.0 × 10^-44,***
9,B,PC1,Glu120,190,190,91.62,116.1,3933.5,1.1 × 10^-39,6.4 × 10^-39,***
10,B,PC1,iAUC,190,190,1714.7045,3410.01575,5594.0,2.8 × 10^-31,9.5 × 10^-31,***
11,B,PC1,PeakDur,190,190,110.625,120.0,11621.0,4.2 × 10^-10,1.0 × 10^-9,***
12,B,PC2,iAUC,190,190,2554.5657499999998,3037.455,13533.0,2.5 × 10^-5,3.9 × 10^-5,***
13,B,PC2,Glu120,190,190,111.6,101.625,22267.5,8.2 × 10^-5,1.2 × 10^-4,***
14,B,PC2,MaxGlu,190,190,138.6,135.0,20289.5,3.6 × 10^-2,4.2 × 10^-2,*
15,B,PC2,PeakDur,190,190,117.2465034965035,116.867447269043,17358.0,5.0 × 10^-1,5.0 × 10^-1,n.s.
16,C,PC1,MaxGlu,174,174,104.4,135.0,2526.0,3.5 × 10^-41,2.8 × 10^-40,***
17,C,PC1,Glu120,174,174,90.3415,114.033,3399.5,6.7 × 10^-36,2.7 × 10^-35,***
18,C,PC1,iAUC,174,174,1229.0905,2460.4095,5606.0,3.1 × 10^-24,8.2 × 10^-24,***
19,C,PC1,PeakDur,174,174,110.3157738095238,119.57765700483091,11632.0,1.0 × 10^-4,1.5 × 10^-4,***
20,C,PC2,Glu120,174,174,107.27975,99.07499999999999,19357.5,6.9 × 10^-6,1.4 × 10^-5,***
21,C,PC2,iAUC,174,174,1682.342875,2141.4361666666664,11084.0,1.6 × 10^-5,2.9 × 10^-5,***
22,C,PC2,PeakDur,174,174,112.0,120.0,12006.5,5.2 × 10^-4,6.9 × 10^-4,***
23,C,PC2,MaxGlu,174,174,124.2,119.61000000000001,17668.0,7.0 × 10^-3,8.4 × 10^-3,**
