reference,days,PC,n,ICC_21,ICC_31,pearson,spearman
full,1,PC1,853,0.517844281410248,0.5175518708798713,0.5183176916059884,0.4730610132456955
full,1,PC2,853,0.2882221680476007,0.288324292374428,0.3020262950256553,0.27611853350611226
full,2,PC1,853,0.6359512321874751,0.6357842585256607,0.6358251082431974,0.6184081020244039
full,2,PC2,853,0.3237851731859494,0.32356961190386757,0.3333990846871273,0.31418370117307926
full,3,PC1,853,0.7455667976178475,0.7454538306564391,0.7542018548416408,0.730200780722619
full,3,PC2,853,0.3825595661566786,0.3824635841811453,0.41033359723192314,0.36794093022764796
full,4,PC1,853,0.8140451923249435,0.8139393072936443,0.8248708238529248,0.8000096556894071
full,4,PC2,853,0.48070969104912864,0.48066766734754035,0.5203340328589495,0.4770869175617191
full,5,PC1,853,0.8498718338254478,0.8498634502597288,0.8675697598420756,0.8439514530343128
full,5,PC2,853,0.5537155264264878,0.5535931851366437,0.6051224362348454,0.567362605862144
full,6,PC1,853,0.8815991465368698,0.8815400830067647,0.8957432229087116,0.8751591284296015
full,6,PC2,853,0.6528404955771485,0.6528348910124884,0.6852106679994258,0.6602048436913255
full,7,PC1,853,0.9047152750191442,0.9049535439992947,0.9147908150102773,0.8981720353060263
full,7,PC2,853,0.7076525230860058,0.7074282435859505,0.7319895765807074,0.7210587917797562
full,8,PC1,853,0.926201458768639,0.9263003294168599,0.9357424658538144,0.9240016425112665
full,8,PC2,853,0.7800520882380498,0.7799012716836009,0.791226128144108,0.7816739578013504
full,9,PC1,853,0.9402428335131446,0.9406398060382158,0.9478426597443205,0.9370456011103616
full,9,PC2,853,0.8172912918349284,0.8171544407520162,0.822857649828869,0.8190113718654246
full,10,PC1,853,0.9558972172488694,0.9560180925023568,0.9620703200224185,0.9539796772679586
full,10,PC2,853,0.8690849135265211,0.8689710099874167,0.8735831123610621,0.8687484003051614
full,11,PC1,853,0.9679402913735372,0.9679858357794783,0.9710047504871832,0.966018895066631
full,11,PC2,853,0.9109174372325117,0.9109504198871364,0.9190325700008798,0.902972908270061
full,12,PC1,853,0.9759204856695589,0.9759907706600832,0.9779535215597795,0.9744378673787771
full,12,PC2,853,0.936746734197696,0.9366829165781374,0.9428879159736189,0.9314379734482848
full,13,PC1,853,0.9840294081636097,0.9840608666186771,0.9853187794224921,0.981506512602028
full,13,PC2,853,0.9520667534524904,0.952013473657393,0.9564094460820819,0.9501569987255803
full,14,PC1,853,0.9885011037263506,0.9887081820809026,0.9888363373487106,0.9860598836035063
full,14,PC2,853,0.9646678390028697,0.9646830871644603,0.9658756482883329,0.9617583656185377
14day,1,PC1,853,0.5120275693205517,0.5118469644821377,0.5128495234076186,0.46990816190359913
14day,1,PC2,853,0.2498007442925166,0.2497928063930376,0.25587659472616814,0.23563460984228352
14day,2,PC1,853,0.6374493202596759,0.6371812754137494,0.6371970582495459,0.6183736478022904
14day,2,PC2,853,0.3229476131299244,0.322692140146433,0.33144838907090785,0.2727433151558632
14day,3,PC1,853,0.7499238664380438,0.749706902685845,0.758211561521358,0.7362620749771048
14day,3,PC2,853,0.3824232876244842,0.3822596109337015,0.4065538245721037,0.3406606301271198
14day,4,PC1,853,0.8188064433470145,0.8186503069859503,0.8289787023627795,0.8049712376849839
14day,4,PC2,853,0.4889995384096819,0.48885496602865336,0.5247233094869087,0.45076381452863
14day,5,PC1,853,0.8553900491763557,0.8552454156095599,0.871982770781182,0.8482303696682816
14day,5,PC2,853,0.5639710931796741,0.563770157149857,0.6083083447084857,0.5458151054966239
14day,6,PC1,853,0.8904136362248337,0.8903253426618548,0.9033763404528172,0.8835119184733444
14day,6,PC2,853,0.6621177417821702,0.6619855760266101,0.6852332143731649,0.6389493148230763
14day,7,PC1,853,0.9147568076742945,0.9146915572813158,0.9233412045536157,0.9072161526033566
14day,7,PC2,853,0.724805676260102,0.7245722271750555,0.7425831044368019,0.7109374096712575
14day,8,PC1,853,0.9350666517312556,0.9349953980200695,0.9430311337152103,0.9327444883781962
14day,8,PC2,853,0.7913606684912048,0.7911669492722954,0.7980847707366212,0.7716876084017412
14day,9,PC1,853,0.9511053481231595,0.9511121639589591,0.9570023579982858,0.9479062215624575
14day,9,PC2,853,0.8336509617871593,0.8334884680157003,0.8360576630958589,0.8173930674934236
14day,10,PC1,853,0.966764919425868,0.9667277788859918,0.9714475223818129,0.965852095642291
14day,10,PC2,853,0.8783767959969081,0.8782600038881395,0.8793787273012165,0.8625801664869773
14day,11,PC1,853,0.9793305178851182,0.9793337424213505,0.9813242913099454,0.978391653710242
14day,11,PC2,853,0.9331116773812066,0.9330539369780725,0.9363806547060022,0.9172080703620952
14day,12,PC1,853,0.9870092051727828,0.987013481333401,0.9881381231590259,0.9867327656674774
14day,12,PC2,853,0.9565926518157003,0.956579071829511,0.9585108551344355,0.9453985264961667
14day,13,PC1,853,0.993718487604518,0.9937654890118499,0.9943533783096059,0.9935362951255086
14day,13,PC2,853,0.9643090004538943,0.9643136520204624,0.9654904439395128,0.9549306099313771
14day,14,PC1,853,1.0,1.0,1.0,0.9999999999999999
14day,14,PC2,853,1.0000000000000002,1.0000000000000002,0.9999999999999999,0.9999999999999999
