PC,meal,outcome,baseline_model,full_model,n,base_adj_R2,full_adj_R2,delta_adj_R2,F,p,p_adj,significant_adj
PCFull1,glucose drink,MaxGlu,max_glucose_A ~ age + sex + bmi + mean_glucose + interdaycv,max_glucose_A ~ age + sex + bmi + mean_glucose + interdaycv + PC1,885,0.328,0.466,0.139,229.172,3.6 × 10^-46,8.6 × 10^-45,True
PCFull1,glucose drink,Glu120,end_glucose_A ~ age + sex + bmi + mean_glucose + interdaycv,end_glucose_A ~ age + sex + bmi + mean_glucose + interdaycv + PC1,885,0.217,0.26,0.044,52.685,8.6 × 10^-13,2.3 × 10^-12,True
PCFull1,glucose drink,iAUC,positive_iAUC_A ~ age + sex + bmi + mean_glucose + interdaycv,positive_iAUC_A ~ age + sex + bmi + mean_glucose + interdaycv + PC1,885,0.164,0.334,0.17,225.257,1.7 × 10^-45,2.0 × 10^-44,True
PCFull1,glucose drink,PeakDuration,peak_duration_A ~ age + sex + bmi + mean_glucose + interdaycv,peak_duration_A ~ age + sex + bmi + mean_glucose + interdaycv + PC1,885,-0.003,0.049,0.052,48.846,5.5 × 10^-12,1.3 × 10^-11,True
PCFull1,white bread,MaxGlu,max_glucose_B ~ age + sex + bmi + mean_glucose + interdaycv,max_glucose_B ~ age + sex + bmi + mean_glucose + interdaycv + PC1,759,0.397,0.516,0.119,186.725,3.9 × 10^-38,2.8 × 10^-37,True
PCFull1,white bread,Glu120,end_glucose_B ~ age + sex + bmi + mean_glucose + interdaycv,end_glucose_B ~ age + sex + bmi + mean_glucose + interdaycv + PC1,759,0.412,0.476,0.064,92.785,8.7 × 10^-21,2.6 × 10^-20,True
PCFull1,white bread,iAUC,positive_iAUC_B ~ age + sex + bmi + mean_glucose + interdaycv,positive_iAUC_B ~ age + sex + bmi + mean_glucose + interdaycv + PC1,759,0.198,0.34,0.142,163.588,4.9 × 10^-34,2.4 × 10^-33,True
PCFull1,white bread,PeakDuration,peak_duration_B ~ age + sex + bmi + mean_glucose + interdaycv,peak_duration_B ~ age + sex + bmi + mean_glucose + interdaycv + PC1,759,0.004,0.038,0.035,28.152,1.5 × 10^-7,3.2 × 10^-7,True
PCFull1,white bread + butter,MaxGlu,max_glucose_C ~ age + sex + bmi + mean_glucose + interdaycv,max_glucose_C ~ age + sex + bmi + mean_glucose + interdaycv + PC1,694,0.395,0.524,0.13,188.361,4.7 × 10^-38,2.8 × 10^-37,True
PCFull1,white bread + butter,Glu120,end_glucose_C ~ age + sex + bmi + mean_glucose + interdaycv,end_glucose_C ~ age + sex + bmi + mean_glucose + interdaycv + PC1,694,0.409,0.495,0.086,118.507,1.4 × 10^-25,4.9 × 10^-25,True
PCFull1,white bread + butter,iAUC,positive_iAUC_C ~ age + sex + bmi + mean_glucose + interdaycv,positive_iAUC_C ~ age + sex + bmi + mean_glucose + interdaycv + PC1,694,0.19,0.334,0.144,149.959,2.5 × 10^-31,1.0 × 10^-30,True
PCFull1,white bread + butter,PeakDuration,peak_duration_C ~ age + sex + bmi + mean_glucose + interdaycv,peak_duration_C ~ age + sex + bmi + mean_glucose + interdaycv + PC1,694,0.021,0.051,0.03,22.423,2.7 × 10^-6,4.3 × 10^-6,True
PCFull2,glucose drink,MaxGlu,max_glucose_A ~ age + sex + bmi + mean_glucose + interdaycv,max_glucose_A ~ age + sex + bmi + mean_glucose + interdaycv + PC2,885,0.328,0.346,0.018,25.488,5.4 × 10^-7,1.1 × 10^-6,True
PCFull2,glucose drink,Glu120,end_glucose_A ~ age + sex + bmi + mean_glucose + interdaycv,end_glucose_A ~ age + sex + bmi + mean_glucose + interdaycv + PC2,885,0.217,0.216,-0.001,0.098,7.5 × 10^-1,7.5 × 10^-1,False
PCFull2,glucose drink,iAUC,positive_iAUC_A ~ age + sex + bmi + mean_glucose + interdaycv,positive_iAUC_A ~ age + sex + bmi + mean_glucose + interdaycv + PC2,885,0.164,0.184,0.021,23.316,1.6 × 10^-6,2.8 × 10^-6,True
PCFull2,glucose drink,PeakDuration,peak_duration_A ~ age + sex + bmi + mean_glucose + interdaycv,peak_duration_A ~ age + sex + bmi + mean_glucose + interdaycv + PC2,885,-0.003,-0.002,0.001,2.059,1.5 × 10^-1,1.6 × 10^-1,False
PCFull2,white bread,MaxGlu,max_glucose_B ~ age + sex + bmi + mean_glucose + interdaycv,max_glucose_B ~ age + sex + bmi + mean_glucose + interdaycv + PC2,759,0.397,0.415,0.018,24.306,1.0 × 10^-6,1.9 × 10^-6,True
PCFull2,white bread,Glu120,end_glucose_B ~ age + sex + bmi + mean_glucose + interdaycv,end_glucose_B ~ age + sex + bmi + mean_glucose + interdaycv + PC2,759,0.412,0.419,0.007,9.633,2.0 × 10^-3,2.5 × 10^-3,True
PCFull2,white bread,iAUC,positive_iAUC_B ~ age + sex + bmi + mean_glucose + interdaycv,positive_iAUC_B ~ age + sex + bmi + mean_glucose + interdaycv + PC2,759,0.198,0.215,0.017,17.702,2.9 × 10^-5,4.3 × 10^-5,True
PCFull2,white bread,PeakDuration,peak_duration_B ~ age + sex + bmi + mean_glucose + interdaycv,peak_duration_B ~ age + sex + bmi + mean_glucose + interdaycv + PC2,759,0.004,0.013,0.009,7.934,5.0 × 10^-3,6.0 × 10^-3,True
PCFull2,white bread + butter,MaxGlu,max_glucose_C ~ age + sex + bmi + mean_glucose + interdaycv,max_glucose_C ~ age + sex + bmi + mean_glucose + interdaycv + PC2,694,0.395,0.404,0.009,11.391,7.8 × 10^-4,1.1 × 10^-3,True
PCFull2,white bread + butter,Glu120,end_glucose_C ~ age + sex + bmi + mean_glucose + interdaycv,end_glucose_C ~ age + sex + bmi + mean_glucose + interdaycv + PC2,694,0.409,0.413,0.004,5.208,2.3 × 10^-2,2.5 × 10^-2,True
PCFull2,white bread + butter,iAUC,positive_iAUC_C ~ age + sex + bmi + mean_glucose + interdaycv,positive_iAUC_C ~ age + sex + bmi + mean_glucose + interdaycv + PC2,694,0.19,0.201,0.01,9.995,1.6 × 10^-3,2.2 × 10^-3,True
PCFull2,white bread + butter,PeakDuration,peak_duration_C ~ age + sex + bmi + mean_glucose + interdaycv,peak_duration_C ~ age + sex + bmi + mean_glucose + interdaycv + PC2,694,0.021,0.027,0.006,5.169,2.3 × 10^-2,2.5 × 10^-2,True
