,train_days,metric,pred_kind,r2,rmse,pearson,n
7,1,end_glucose,fixed,0.30420319126564577,15.076381465501457,0.6024803432535695,8740
17,2,end_glucose,fixed,0.3956493431033482,14.050778920499639,0.6381033989997007,8740
27,3,end_glucose,fixed,0.38846789014631944,14.134014549473513,0.6372176483876549,8740
37,4,end_glucose,fixed,0.38896084538425746,14.128316695616329,0.6366526304451771,8740
47,5,end_glucose,fixed,0.3788924791299242,14.244240420876194,0.6303098481737053,8740
57,6,end_glucose,fixed,0.3799991562178302,14.231544710281364,0.6331247124476737,8740
67,7,end_glucose,fixed,0.38202061780731034,14.208325380072264,0.6331709504067038,8740
77,8,end_glucose,fixed,0.3909408016933197,14.105408059551602,0.6423525209537416,8740
87,9,end_glucose,fixed,0.3975772042383502,14.028350230088405,0.6477722608868066,8740
97,10,end_glucose,fixed,0.3933378895678966,14.077623209643841,0.6459401596998725,8740
107,11,end_glucose,fixed,0.40044285469238683,13.994944896200739,0.6506519464047448,8740
2,1,end_glucose,full,0.28493947327103863,15.283657736278084,0.5780312521546446,8740
12,2,end_glucose,full,0.3917015178879123,14.09659646539093,0.633123975498259,8740
22,3,end_glucose,full,0.40625176923831563,13.926983642953568,0.6462124981214474,8740
32,4,end_glucose,full,0.4229565849815745,13.72967148883432,0.6577326329840927,8740
42,5,end_glucose,full,0.4320776006898448,13.620730505196153,0.6647856423008727,8740
52,6,end_glucose,full,0.4482180585954827,13.425783595480972,0.6750684508847958,8740
62,7,end_glucose,full,0.4531339412609504,13.365843943925546,0.6779303461100606,8740
72,8,end_glucose,full,0.47377789301576556,13.11113972990784,0.693081109299578,8740
82,9,end_glucose,full,0.484983416989506,12.97079238164476,0.7006560887077011,8740
92,10,end_glucose,full,0.49412587315228607,12.855149603065918,0.7064039511002232,8740
102,11,end_glucose,full,0.5047101191655988,12.719956578965066,0.7132659252462943,8740
9,1,global,fixed,0.3159757002471467,,,8740
19,2,global,fixed,0.389045171086062,,,8740
29,3,global,fixed,0.3871482540309288,,,8740
39,4,global,fixed,0.38898908710883295,,,8740
49,5,global,fixed,0.38523556015872756,,,8740
59,6,global,fixed,0.38642888860600594,,,8740
69,7,global,fixed,0.38805694816670133,,,8740
79,8,global,fixed,0.3953198573925671,,,8740
89,9,global,fixed,0.4016109148056384,,,8740
99,10,global,fixed,0.4012875070192146,,,8740
109,11,global,fixed,0.4074037161409369,,,8740
4,1,global,full,0.2896224208092376,,,8740
14,2,global,full,0.37635853966166866,,,8740
24,3,global,full,0.39243024513179764,,,8740
34,4,global,full,0.4132696476240683,,,8740
44,5,global,full,0.4243703218563856,,,8740
54,6,global,full,0.4379223422307211,,,8740
64,7,global,full,0.448719589226113,,,8740
74,8,global,full,0.46811057156558167,,,8740
84,9,global,full,0.4799261458023333,,,8740
94,10,global,full,0.4891580983459757,,,8740
104,11,global,full,0.49886163347349066,,,8740
5,1,max_glucose,fixed,0.44607098236377707,16.4442975540204,0.6959966807056598,8740
15,2,max_glucose,fixed,0.5146241517800556,15.393144622123346,0.7185310680256113,8740
25,3,max_glucose,fixed,0.5137923360660457,15.406329021886465,0.7198473637116449,8740
35,4,max_glucose,fixed,0.5151255545860539,15.385191857044992,0.7217649184116894,8740
45,5,max_glucose,fixed,0.5161202817390773,15.369402279524353,0.7234734524488876,8740
55,6,max_glucose,fixed,0.5150392222568287,15.386561469676534,0.7234130406592095,8740
65,7,max_glucose,fixed,0.5168708934686994,15.35747686644412,0.7246340293637353,8740
75,8,max_glucose,fixed,0.5237670351949578,15.247477297880947,0.7297369198533099,8740
85,9,max_glucose,fixed,0.528931617260761,15.164575110527467,0.7334253494067995,8740
95,10,max_glucose,fixed,0.5278575932921441,15.181852691398516,0.7328784614103321,8740
105,11,max_glucose,fixed,0.5341176730854396,15.080869657942133,0.7373988151910522,8740
0,1,max_glucose,full,0.4262515113941696,16.73589897816543,0.6811505553018803,8740
10,2,max_glucose,full,0.5075279074300129,15.505260992169951,0.7181014203220754,8740
20,3,max_glucose,full,0.5240271771995118,15.243312265821288,0.7286136077172836,8740
30,4,max_glucose,full,0.5468968958661455,14.87259621472707,0.7431184884330784,8740
40,5,max_glucose,full,0.5585991689023002,14.67928294731202,0.7500887081973445,8740
50,6,max_glucose,full,0.570611178965011,14.4781687829089,0.757081463001147,8740
60,7,max_glucose,full,0.5818835859519159,14.286862893233664,0.7640990655704092,8740
70,8,max_glucose,full,0.6001144109254393,13.971921765319365,0.7751951648692164,8740
80,9,max_glucose,full,0.6112235299902096,13.77647963396871,0.7821305104519353,8740
90,10,max_glucose,full,0.6184752216837441,13.647391265200515,0.7866439214929645,8740
100,11,max_glucose,full,0.628394208277927,13.468818652488885,0.7928690604565309,8740
6,1,peak_duration,fixed,0.2897925608892743,31.845525907057954,0.5658720432089793,8740
16,2,peak_duration,fixed,0.3622746874907464,30.176762474187743,0.6062952295328622,8740
26,3,peak_duration,fixed,0.3624895051161001,30.171679528342914,0.610490968575521,8740
36,4,peak_duration,fixed,0.3634870516410086,30.14806467229287,0.6126805418431518,8740
46,5,peak_duration,fixed,0.36252873089455206,30.1707512880771,0.6124492716414748,8740
56,6,peak_duration,fixed,0.3660590406213605,30.087092637563792,0.6146337651540964,8740
66,7,peak_duration,fixed,0.3672527726703547,30.058751788253073,0.614514700728405,8740
76,8,peak_duration,fixed,0.3702478708313598,29.987526108563216,0.6154665896190135,8740
86,9,peak_duration,fixed,0.37673996837443,29.83255538178215,0.6206729347175167,8740
96,10,peak_duration,fixed,0.37902555196269094,29.777805019778338,0.6218931398972821,8740
106,11,peak_duration,fixed,0.38297735351552786,29.682902730897172,0.6246126673212224,8740
1,1,peak_duration,full,0.27284391884571935,32.22327198654849,0.551327711160624,8740
11,2,peak_duration,full,0.3603412787356731,30.222471701776545,0.6045319394680434,8740
21,3,peak_duration,full,0.36587683112916247,30.091416194767206,0.6131789504748598,8740
31,4,peak_duration,full,0.3727931534317257,29.92686414016023,0.6191806113887147,8740
41,5,peak_duration,full,0.3802247373486737,29.749038646893414,0.6246129903965107,8740
51,6,peak_duration,full,0.3882198193244054,29.55653496343896,0.6295243438316337,8740
61,7,peak_duration,full,0.39465986861835456,29.400556450579366,0.6333112405737523,8740
71,8,peak_duration,full,0.40383238348583406,29.176957830266048,0.6386650493195914,8740
81,9,peak_duration,full,0.4151828821146667,28.897871456779495,0.6473757449703661,8740
91,10,peak_duration,full,0.42197031245659944,28.729686633955378,0.6518060511394252,8740
101,11,peak_duration,full,0.4273199584395416,28.59643144083856,0.6555643599096846,8740
8,1,positive_iAUC,fixed,0.22383606646987386,1018.7864143371829,0.5078225841397378,8740
18,2,positive_iAUC,fixed,0.2836325019700826,978.7558087812804,0.5363987166956636,8740
28,3,positive_iAUC,fixed,0.283843284795234,978.6118044168894,0.5400301577750999,8740
38,4,positive_iAUC,fixed,0.288382896823996,975.5052354613041,0.5473802237044348,8740
48,5,positive_iAUC,fixed,0.28340074887133415,978.914115341595,0.5467511674838035,8740
58,6,positive_iAUC,fixed,0.28461813532798697,978.0822533571202,0.5484399305435962,8740
68,7,positive_iAUC,fixed,0.2860835087204241,977.0799981309207,0.5511471765532419,8740
78,8,positive_iAUC,fixed,0.2963237218506152,970.0472105223197,0.5566967858752387,8740
88,9,positive_iAUC,fixed,0.3031948693489961,965.2995099386696,0.5631037789203108,8740
98,10,positive_iAUC,fixed,0.30492899325411504,964.0976016430446,0.5642191185019013,8740
108,11,positive_iAUC,fixed,0.3120769832703768,959.1274841702063,0.5694475302984643,8740
3,1,positive_iAUC,full,0.17445477972600165,1050.695444912673,0.46694973100264314,8740
13,2,positive_iAUC,full,0.24586345459305603,1004.2258799712748,0.5331816953095386,8740
