,,LMMER_full,LMMER_rand_int,LR,MMER_XGBoost,MMER_XGBoost_MI,XGBoost
all meals,max_glucose,0.50 | 0.71,0.48 | 0.70,0.41 | 0.64,0.62 | 0.79,0.61 | 0.78,0.55 | 0.75
all meals,peak_duration,0.34 | 0.58,0.33 | 0.58,0.30 | 0.55,0.44 | 0.67,0.44 | 0.67,0.43 | 0.65
all meals,end_glucose,0.42 | 0.65,0.41 | 0.64,0.35 | 0.59,0.47 | 0.69,0.46 | 0.68,0.42 | 0.65
all meals,positive_iAUC,0.36 | 0.60,0.34 | 0.59,0.25 | 0.50,0.50 | 0.70,0.49 | 0.70,0.42 | 0.65
all meals,Multivariate (uniform R²),0.40,0.39,0.33,0.51,0.50,0.45
standardized,max_glucose,0.01 | 0.59,-0.05 | 0.57,-0.21 | 0.46,0.49 | 0.72,0.44 | 0.69,0.30 | 0.59
standardized,peak_duration,-0.19 | 0.35,-0.23 | 0.35,-0.35 | 0.29,0.12 | 0.40,0.13 | 0.40,0.11 | 0.35
standardized,end_glucose,0.32 | 0.57,0.28 | 0.55,0.20 | 0.47,0.33 | 0.57,0.30 | 0.55,0.22 | 0.47
standardized,positive_iAUC,-0.12 | 0.45,-0.20 | 0.41,-0.40 | 0.11,0.31 | 0.59,0.27 | 0.55,0.09 | 0.36
standardized,Multivariate (uniform R²),0.00,-0.05,-0.19,0.31,0.28,0.18
