,,LMMER_full,LMMER_rand_int,LR,MMER_XGBoost,MMER_XGBoost_MI,XGBoost
all meals,delta_max_glucose,0.36 | 0.60,0.34 | 0.59,0.25 | 0.50,0.52 | 0.72,0.51 | 0.72,0.44 | 0.66
all meals,peak_duration,0.34 | 0.58,0.33 | 0.58,0.30 | 0.55,0.44 | 0.67,0.44 | 0.67,0.43 | 0.65
all meals,delta_end_glucose,0.41 | 0.64,0.40 | 0.63,0.34 | 0.58,0.46 | 0.68,0.46 | 0.68,0.41 | 0.64
all meals,positive_iAUC,0.36 | 0.60,0.34 | 0.59,0.25 | 0.50,0.50 | 0.70,0.49 | 0.70,0.42 | 0.65
all meals,Multivariate (uniform R²),0.37,0.35,0.28,0.48,0.47,0.42
standardized,delta_max_glucose,-0.24 | 0.43,-0.32 | 0.39,-0.51 | 0.10,0.36 | 0.63,0.31 | 0.60,0.13 | 0.43
standardized,peak_duration,-0.19 | 0.35,-0.23 | 0.35,-0.35 | 0.29,0.13 | 0.40,0.14 | 0.41,0.11 | 0.35
standardized,delta_end_glucose,0.16 | 0.40,0.12 | 0.36,0.01 | 0.20,0.17 | 0.41,0.13 | 0.37,0.03 | 0.20
standardized,positive_iAUC,-0.12 | 0.45,-0.20 | 0.41,-0.40 | 0.11,0.32 | 0.59,0.26 | 0.55,0.09 | 0.36
standardized,Multivariate (uniform R²),-0.10,-0.16,-0.31,0.24,0.21,0.09
