reference_pc,matched_delta_pc,sign_applied_to_delta,loading_cosine_similarity,max_abs_loading_difference,variance_explained_original,variance_explained_delta,variance_explained_difference,n_participants,score_pearson_r,score_spearman_r,score_mean_abs_difference,score_rmse,score_rmse_over_original_sd,score_max_abs_difference
PC1,PC1,1,0.9964359534623844,0.05010679349833247,0.6932474539587641,0.670699311450133,-0.02254814250863113,992,0.9978678328318369,0.9980662503807047,0.03537140769546064,0.04699388975764312,0.07589243969707216,0.3930602851768912
PC2,PC2,1,0.9916136893956318,0.061347931800983045,0.11793465332028555,0.10982872128634025,-0.008105932033945301,992,0.975446382140357,0.9691423424798433,0.03706116780178849,0.04921035550081741,0.22015875570133522,0.4360003296390471
PC3,PC4,1,0.9464722758630366,0.14471430205600525,0.050351200328946376,0.05123878199916549,0.0008875816702191147,992,0.9579504025829395,0.94882406230679,0.03301872492689392,0.042639728477201135,0.2894877898687691,0.21208947249012738
PC4,PC3,1,0.9829317183382843,0.11683853905319148,0.046607853470108394,0.05626387164140111,0.009656018171292718,992,0.954420343059181,0.9433266271012745,0.02528998663003031,0.03341311546589545,0.3693155108634125,0.1868972542590993
PC5,PC5,1,0.95327648511024,0.15276914628475594,0.033565307052974155,0.03845390934481134,0.004888602291837185,992,0.9199015708326602,0.9131264191287519,0.033068918626852704,0.043840367754420816,0.5101129282197325,0.25786518683529036
PC6,PC6,1,0.9889794956415667,0.08362146502794138,0.016904124868208557,0.017424948959461967,0.0005208240912534107,992,0.9847601115284192,0.9823934487475282,0.010878919473919656,0.014293689973587886,0.2010955786688008,0.06870791153297659
PC7,PC8,-1,0.6464726199154817,0.31368008482991466,0.008646214675795542,0.008652726767746158,6.512091950615709e-06,992,0.6550231259405725,0.6285462422695007,0.029982833387203627,0.039218010034811,0.7561143380689154,0.27491684633823477
PC8,PC7,-1,0.785055988585492,0.2912269195019864,0.006565424560754058,0.011124064450674506,0.004558639889920448,992,0.6427274644542661,0.6285510610011102,0.03934490121833018,0.05077059510562777,1.6043627315023126,0.305913910181625
PC9,PC9,-1,0.7906894920256372,0.33827418687001165,0.0053155264477533935,0.007629679099638078,0.002314152651884684,992,0.6424506096979947,0.6244264357189563,0.018956827329815115,0.024775156295071828,1.1636803897603432,0.12493726379243435
PC10,PC10,1,0.7669831407345136,0.41688821317808455,0.00435967124984769,0.006444122078105041,0.0020844508282573506,992,0.7797012680025004,0.7680920876328631,0.013322443360894705,0.01687646078136939,0.8547269598710032,0.053243516265451214
PC11,PC11,1,0.6691001398530596,0.38631757670538003,0.003993551577752094,0.005391224995996865,0.0013976734182447707,992,0.5266391672989573,0.49770651731483373,0.017353059077133325,0.021874177245121224,1.203335856178816,0.12139787909512659
PC12,PC12,-1,0.8488006232032426,0.3306533537825512,0.0037132742506901235,0.005001320472160771,0.001288046221470647,992,0.8371375543583727,0.8230796174438479,0.011434673144500989,0.01480665872514395,0.9068194033494426,0.06719036285736033
PC13,PC13,-1,0.9311173232290547,0.17474895548807007,0.0025886960039100556,0.00416866578258284,0.0015799697786727843,992,0.7886063682101128,0.7630198317357928,0.01057027566248653,0.013640558891239125,0.9742944429607386,0.053521972755267884
PC14,PC20,-1,0.637710141411497,0.4617603733137105,0.0022296586441371492,1.533296781011815e-08,-0.0022296433111693393,992,0.716978190511172,0.6922800895615359,0.014904228115196348,0.019508061193181565,0.9994834453343472,0.12925750333324865
PC15,PC14,1,0.6395637614351536,0.46944027039914654,0.0012404675336525038,0.002608522865276325,0.001368055331623821,992,0.5507353221264679,0.5177797797367616,0.014137758687692436,0.01804804492911455,1.5583341603163496,0.06579865506895145
PC16,PC15,-1,0.6688188751632466,0.534724480368396,0.0009552689156391542,0.0015651032173759718,0.0006098343017368176,992,0.5745411422395909,0.5504819051219283,0.010338476151225844,0.01324030094615256,1.133441657869028,0.05922038504753211
PC17,PC16,-1,0.7892117646945627,0.28025712310556605,0.0008210725122597759,0.0014713992584773916,0.0006503267462176157,992,0.6960943868918551,0.6551418669005358,0.008808662081447554,0.011469031184127263,1.2799712594273118,0.042735256305846875
PC18,PC17,1,0.8517202547415073,0.24151363833370043,0.0007195216795451193,0.0010156341696938883,0.0002961124901487691,992,0.7193492850396749,0.7173322449555993,0.006100032012400164,0.007962502218867813,1.0130044708550545,0.04069766545194163
PC19,PC18,1,0.9503295142182141,0.16492185908425863,0.00024104184308169037,0.0006990941395955085,0.0004580522965138181,992,0.8867232839283833,0.8784579931005598,0.004744651790031017,0.006019583589378523,1.9712579995437152,0.02128538893120735
PC20,PC19,1,0.9102968482969939,0.27225312157246134,1.7105894514518617e-08,0.0003188826883955388,0.0003188655825010243,992,0.7932894414648503,0.795662804731916,0.005455516461517725,0.00706715791020616,14873.474530711672,0.029711223387675997
